iter	Passed	Remaining
403	3864	5701
404	3873	5690
405	3882	5680
406	3889	5667
407	3899	5657
408	3907	5646
409	3917	5637
410	3923	5622
411	3933	5613
412	3940	5600
413	3948	5588
414	3954	5574
415	3963	5564
416	3970	5551
417	3977	5538
418	3983	5523
419	3991	5512
420	3999	5500
421	4007	5489
422	4013	5475
423	4020	5461
424	4028	5449
425	4033	5435
426	4041	5423
427	4047	5409
428	4053	5395
429	4062	5384
430	4067	5370
431	4075	5358
432	4081	5344
433	4089	5332
434	4096	5320
435	4104	5310
436	4110	5295
437	4117	5283
438	4126	5273
439	4133	5260
440	4141	5249
441	4147	5235
442	4156	5226
443	4163	5214
444	4171	5202
445	4179	5191
446	4188	5181
447	4198	5172
448	4208	5164
449	4220	5158
450	4228	5147
451	4239	5140
452	4251	5133
453	4259	5123
454	4271	5116
455	4279	5105
456	4290	5097
457	4298	5086
458	4307	5077
459	4317	5068
460	4325	5056
461	4332	5045
462	4338	5032
463	4347	5021
464	4357	5013
465	4367	5005
466	4376	4994
467	4385	4985
468	4392	4973
469	4401	4962
470	4409	4952
471	4418	4942
472	4424	4929
473	4432	4918
474	4437	4904
475	4445	4893
476	4452	4882
477	4458	4869
478	4466	4858
479	4473	4845
480	4483	4838
481	4492	4827
482	4499	4816
483	4505	4803
484	4518	4798
485	4527	4788
486	4534	4776
487	4541	4764
488	4548	4753
489	4554	4740
490	4561	4729
491	4567	4716
492	4576	4706
493	4583	4694
494	4592	4685
495	4599	4674
496	4632	4688
497	4647	4684
498	4656	4675
499	4663	4663
500	4674	4655
501	4681	4643
502	4691	4635
503	4698	4623
504	4708	4615
505	4716	4604
506	4727	4596
507	4732	4583
508	4743	4575
509	4749	4563
510	4758	4553
511	4764	4540
512	4773	4531
513	4779	4519
514	4787	4508
515	4793	4496
516	4802	4486
517	4808	4474
518	4816	4463
519	4822	4451
520	4828	4439
521	4837	4429
522	4843	4417
523	4850	4406
524	4856	4394
525	4862	4381
526	4870	4371
527	4878	4361
528	4886	4350
529	4892	4338
530	4900	4328
531	4906	4315
532	4914	4305
533	4920	4293
534	4925	4281
535	4935	4272
536	4941	4260
537	4948	4249
538	4954	4237
539	4962	4227
540	4968	4215
541	4974	4203
542	4982	4193
543	4988	4181
544	4997	4172
545	5003	4160
546	5011	4149
547	5016	4137
548	5023	4127
549	5032	4117
550	5038	4105
551	5046	4095
552	5052	4084
553	5060	4074
554	5066	4062
555	5072	4050
556	5078	4039
557	5084	4027
558	5091	4016
559	5097	4005
560	5103	3993
561	5110	3982
562	5117	3971
563	5126	3963
564	5132	3951
565	5139	3940
566	5145	3929
567	5151	3917
568	5158	3907
569	5164	3896
570	5174	3887
571	5181	3876
572	5192	3869
573	5198	3858
574	5206	3848
575	5212	3836
576	5221	3828
577	5228	3817
578	5234	3805
579	5242	3796
580	5249	3786
581	5260	3778
582	5269	3768
583	5275	3757
584	5281	3746
585	5290	3737
586	5297	3726
587	5304	3717
588	5312	3706
589	5322	3698
590	5329	3688
591	5338	3679
592	5344	3668
593	5353	3659
594	5360	3648
595	5368	3639
596	5375	3628
597	5383	3619
598	5389	3608
599	5396	3597
600	5403	3587
601	5410	3576
602	5419	3568
603	5426	3557
604	5434	3547
605	5440	3536
606	5448	3527
607	5455	3517
608	5461	3506
609	5467	3495
610	5473	3484
611	5482	3475
612	5488	3464
613	5495	3454
614	5501	3444
615	5507	3433
616	5516	3424
617	5522	3413
618	5531	3404
619	5538	3394
620	5564	3395
621	5579	3390
622	5587	3380
623	5595	3371
624	5610	3366
625	5617	3356
626	5628	3348
627	5636	3338
628	5656	3336
629	5666	3327
630	5681	3322
631	5692	3314
632	5700	3305
633	5709	3295
634	5715	3285
635	5724	3276
636	5741	3271
637	5762	3269
638	5797	3275
639	5811	3269
640	5821	3260
641	5829	3250
642	5844	3244
643	5864	3241
644	5876	3234
645	5887	3226
646	5895	3216
647	5907	3208
648	5918	3201
649	5924	3190
650	5929	3179
651	5938	3169
652	5944	3158
653	5952	3148
654	5959	3139
655	5969	3130
656	5975	3119
657	5984	3110
658	5990	3099
659	5998	3089
660	6004	3079
661	6010	3068
662	6019	3059
663	6025	3049
664	6036	3041
665	6042	3030
666	6054	3022
667	6065	3014
668	6071	3003
669	6079	2994
670	6085	2983
671	6091	2973
672	6102	2965
673	6107	2954
674	6117	2945
675	6122	2934
676	6133	2926
677	6139	2915
678	6149	2907
679	6154	2896
680	6167	2888
681	6172	2878
682	6181	2868
683	6186	2858
684	6197	2849
685	6203	2839
686	6212	2830
687	6218	2820
688	6228	2811
689	6234	2801
690	6245	2793
691	6251	2782
692	6262	2774
693	6269	2764
694	6279	2755
695	6284	2745
696	6295	2736
