iter	RMSE
129	16479.01305
130	16450.18138
131	16411.83005
132	16399.85834
133	16380.79898
134	16343.3987
135	16329.29306
136	16306.83358
137	16275.77754
138	16238.10266
139	16199.01923
140	16174.53405
141	16149.5764
142	16136.433
143	16102.27378
144	16053.64766
145	16028.90381
146	16006.05468
147	15979.5515
148	15966.29736
149	15935.62321
150	15911.7255
151	15900.12543
152	15884.9462
153	15846.83643
154	15819.66197
155	15785.06284
156	15770.36244
157	15755.51905
158	15742.05287
159	15721.88744
160	15704.2576
161	15673.57302
162	15634.48022
163	15622.46978
164	15605.64811
165	15582.68428
166	15563.0177
167	15535.59066
168	15517.32252
169	15501.96476
170	15481.83645
171	15458.99273
172	15424.80072
173	15403.029
174	15391.13724
175	15361.67897
176	15338.20315
177	15323.29426
178	15286.85634
179	15274.01314
180	15260.65123
181	15227.02123
182	15209.06988
183	15194.48564
184	15153.60968
185	15123.4067
186	15112.80412
187	15097.94617
188	15066.77873
189	15052.25979
190	15039.04513
191	15021.43341
192	14994.18955
193	14980.10847
194	14961.13825
195	14949.61581
196	14934.98611
197	14915.99822
198	14885.49816
199	14872.72289
200	14840.27295
201	14810.36427
202	14794.96421
203	14782.06262
204	14739.25107
205	14710.07326
206	14676.60504
207	14642.73598
208	14598.39113
209	14586.99474
210	14567.776
211	14555.47308
212	14521.58888
213	14496.3175
214	14485.44901
215	14474.79765
216	14440.42609
217	14427.6343
218	14415.30328
219	14393.01116
220	14383.232
221	14366.94267
222	14348.38923
223	14318.73438
224	14307.91692
225	14298.37959
226	14288.73675
227	14268.69794
228	14222.12392
229	14185.47856
230	14164.46599
231	14134.79506
232	14125.37276
233	14111.03482
234	14100.71429
235	14076.73195
236	14033.92613
237	14007.24815
238	13973.69138
239	13934.53425
240	13921.90966
241	13896.50134
242	13887.35485
243	13878.39204
244	13869.60921
245	13851.45568
246	13842.83319
247	13834.38378
248	13819.58883
249	13806.99253
250	13789.26631
251	13780.98115
252	13770.34972
253	13741.56371
254	13725.31201
255	13717.39266
256	13704.38399
257	13675.58541
258	13644.03233
259	13636.10631
260	13596.00827
261	13560.64604
262	13544.72711
263	13515.57672
264	13507.81654
265	13476.22917
266	13451.17449
267	13425.88525
268	13409.97861
269	13395.93372
270	13388.35406
271	13373.81424
272	13366.38118
273	13359.06779
274	13351.85655
275	13333.24233
276	13313.52896
277	13289.80242
278	13282.69109
279	13254.0772
280	13232.00697
281	13212.50468
282	13200.87798
283	13174.6543
284	13142.88083
285	13135.85554
286	13121.64009
287	13088.1579
288	13073.45948
289	13043.74801
290	13036.88077
291	13021.78449
292	13008.13045
293	13001.3381
294	12981.14692
295	12974.44771
296	12951.84608
297	12937.78427
298	12922.86858
299	12901.64211
300	12878.4712
301	12871.8161
302	12863.37078
303	12846.44897
304	12839.93626
305	12823.93321
306	12799.82872
307	12793.46364
308	12782.32834
309	12776.06157
310	12758.23043
311	12748.14417
312	12741.95216
313	12726.9752
314	12720.86009
315	12707.51762
316	12696.8682
317	12683.72384
318	12663.51768
319	12653.94328
320	12641.56648
321	12635.509
322	12613.57997
323	12597.50218
324	12579.46674
325	12569.77271
326	12563.83508
327	12552.43421
328	12546.53081
329	12526.51142
330	12513.98227
331	12504.0349
332	12484.97359
333	12479.15692
334	12450.6879
335	12430.72723
336	12424.97962
337	12419.2955
338	12410.90366
339	12405.3107
340	12396.76224
341	12386.6442
342	12368.82499
343	12349.42381
344	12343.96902
345	12338.59166
346	12333.27798
347	12318.31243
348	12312.93842
349	12304.39141
350	12286.01884
351	12274.06697
352	12261.40484
353	12252.45192
354	12237.7635
355	12227.71357
356	12217.56106
357	12202.77695
358	12190.75281
359	12184.1702
360	12179.03567
361	12168.68559
362	12163.56723
363	12152.16696
364	12129.16502
365	12118.96262
366	12102.97494
367	12082.00122
368	12076.14486
369	12071.19776
370	12053.34032
371	12047.83647
372	12029.74424
373	12021.17891
374	12016.30495
375	12011.42982
376	11978.43991
377	11973.7034
378	11947.57728
379	11933.34011
380	11928.66065
381	11921.53795
382	11916.83612
383	11903.07076
384	11888.95067
385	11866.02427
386	11861.37014
387	11856.18994
388	11845.54823
389	11837.15649
390	11832.5299
391	11825.14121
392	11814.6354
393	11803.67897
394	11786.2417
395	11772.80706
396	11768.35251
397	11751.45652
398	11741.44217
399	11736.95031
400	11732.61207
401	11728.32538
402	11716.46697
403	11708.25999
404	11689.92823
405	11677.62265
406	11664.20636
407	11652.51879
408	11642.7647
409	11638.50479
410	11628.38121
411	11620.96098
412	11614.41838
413	11610.21237
414	11588.34635
415	11584.09714
416	11579.99246
417	11561.86516
418	11557.81204
419	11546.2043
420	11533.96739
421	11523.15218
422	11505.90089
423	11492.17668
424	11475.68942
425	11471.58705
426	11467.63769
427	11456.40005
428	11449.6727
429	11434.8027
430	11430.8837
431	11418.28848
432	11411.80855
433	11407.95275
434	11399.42895
435	11388.30411
436	11383.36281
437	11360.85717
438	11357.05962
439	11353.3006
440	11346.81426
441	11327.34302
442	11309.59084
443	11300.84302
444	11272.45363
445	11256.03576
446	11248.89912
447	11243.32821
448	11239.60034
449	11233.82914
450	11230.16296
451	11222.6449
452	11217.40865
453	11202.67339
454	11190.05702
455	11184.22962
456	11174.65983
457	11162.72494
458	11159.11194
459	11141.93424
460	11138.43234
461	11126.53236
462	11123.00292
463	11109.23398
464	11094.11456
465	11081.27393
466	11076.88583
467	11067.74939
468	11060.49657
469	11057.29563
470	11035.33242
471	11027.73427
472	11022.64731
473	11019.16928
474	11015.73651
475	11002.36871
476	10989.01819
477	10976.24335
478	10969.3756
479	10950.95863
480	10936.40222
481	10927.65268
482	10911.7216
483	10905.87475
484	10902.42996
485	10886.48889
486	10879.91695
487	10876.44147
488	10873.13937
489	10863.04896
490	10858.0871
491	10852.45043
492	10834.83313
493	10829.64872
494	10826.30889
495	10822.94474
496	10809.94694
497	10806.67879
498	10802.24652
499	10799.00558
500	10795.82851
501	10789.62158
502	10765.56291
503	10755.26768
504	10750.72762
505	10747.5767
506	10742.98874
507	10739.05986
508	10735.92138
509	10724.39006
510	10721.52072
511	10717.43574
512	10699.52733
513	10691.05806
514	10687.93096
515	10681.05871
516	10674.59124
517	10654.73602
518	10641.07154
519	10637.97228
520	10634.93505
521	10625.71897
522	10609.22018
523	10594.83835
524	10582.2137
525	10577.52257
526	10563.99869
527	10551.61906
528	10548.59631
529	10539.63485
530	10531.5582
531	10521.89339
532	10518.86761
533	10505.10687
534	10499.09469
535	10496.14217
536	10492.16948
537	10489.2339
538	10486.2928
539	10468.40876
540	10465.4732
541	10462.59797
542	10456.6463
543	10445.55636
544	10438.57007
545	10435.72299
546	10431.4637
547	10426.89651
548	10424.02095
549	10421.16835
550	10415.6456
551	10393.71394
552	10374.62388
553	10370.47382
554	10362.19282
555	10359.37642
556	10356.58527
557	10352.14892
558	10349.36603
559	10325.96295
560	10315.93989
561	10313.09456
562	10305.42459
563	10302.68328
564	10299.96291
565	10296.00883
566	10283.84097
567	10277.97813
568	10270.09463
569	10251.26136
570	10248.62238
571	10239.44743
572	10231.73651
573	10229.03863
574	10215.20626
575	10206.24662
576	10203.57542
577	10200.93407
578	10194.9874
579	10192.37165
580	10188.01965
581	10184.60403
582	10178.99359
583	10171.9494
584	10161.76251
585	10159.08184
586	10142.24858
587	10139.64717
588	10130.69021
589	10117.20252
590	10110.3717
591	10104.98881
592	10102.39327
593	10099.82507
594	10092.13399
595	10072.6174
596	10058.88324
597	10046.5303
598	10043.96422
599	10041.47337
600	10039.01454
601	10031.59544
602	10025.79933
603	10018.57839
604	10007.67432
605	9990.330369
606	9966.406165
607	9963.895129
608	9943.86904
609	9939.729273
610	9929.180667
611	9918.533779
612	9912.919148
613	9895.123916
614	9888.746811
615	9886.233124
616	9880.861616
617	9878.392809
618	9871.683209
619	9857.901546
620	9851.88064
621	9840.973143
622	9838.495192
623	9836.064074
624	9832.79503
625	9822.546049
626	9817.67087
627	9815.180186
628	9803.276334
629	9796.208876
630	9793.839862
631	9786.744377
632	9773.32165
633	9770.914699
634	9762.284902
635	9758.731535
636	9755.066396
637	9744.654308
638	9742.278757
639	9739.817763
640	9723.965514
641	9721.628482
642	9715.02856
643	9693.785777
644	9688.720346
645	9686.28339
646	9669.531157
647	9653.014856
648	9648.908744
649	9639.28494
650	9636.993959
651	9634.688383
652	9623.221649
653	9620.83872
654	9618.488404
655	9610.442047
656	9606.828097
657	9594.345672
658	9592.07229
659	9582.927135
660	9570.748986
661	9568.432479
662	9566.190367
663	9563.909098
664	9555.542961
665	9553.327759
666	9540.080419
667	9537.834735
668	9527.857946
669	9525.346705
670	9523.137762
671	9511.397143
672	9505.834632
673	9502.472239
674	9489.011078
675	9486.812962
676	9482.313712
677	9479.385306
678	9476.942485
679	9468.755207
680	9461.851463
681	9459.685007
682	9457.524382
683	9455.392676
684	9448.810194
685	9441.68833
686	9438.241041
687	9434.970115
688	9430.298771
689	9418.206852
690	9416.097304
691	9413.982983
692	9407.928315
693	9404.855732
694	9396.015004
695	9392.886652
696	9385.171885
697	9375.533657
698	9371.300078
699	9364.63354
700	9362.505955
701	9360.165723
702	9358.082407
703	9355.393528
704	9352.620473
705	9350.565679
706	9348.523385
707	9340.196731
708	9337.592072
709	9330.152846
710	9320.066172
711	9318.054741
712	9311.485102
713	9305.672718
714	9295.11035
715	9283.37768
716	9278.808099
717	9275.989259
718	9274.089302
719	9270.560949
720	9267.563025
721	9259.546077
722	9257.518906
723	9250.436376
724	9248.437299
725	9246.450084
726	9240.206627
727	9237.399427
728	9235.455389
729	9233.573598
730	9224.731111
731	9215.535079
732	9210.434271
733	9201.348371
734	9193.311029
735	9191.43999
736	9182.323028
737	9180.497239
738	9178.778198
739	9170.379804
740	9167.622788
741	9165.698268
742	9156.826629
743	9149.213459
744	9147.321705
745	9139.757124
746	9136.576742
747	9133.849427
748	9122.129469
749	9111.84222
750	9110.066452
751	9106.355539
752	9104.448498
753	9098.607196
754	9086.096155
755	9075.463008
756	9070.58539
757	9067.539211
758	9055.345969
759	9052.397669
760	9050.588454
761	9047.677853
762	9042.443573
763	9040.341372
764	9036.189517
765	9029.352509
766	9026.408687
767	9024.476512
768	9022.71716
769	9020.895931
770	9017.404331
771	9013.175977
772	9007.698327
773	8997.98488
774	8995.651008
775	8990.698975
776	8988.010646
777	8978.610358
778	8971.287265
779	8963.402885
780	8960.508069
781	8951.536161
782	8938.129441
783	8936.31578
784	8926.884148
785	8924.914227
786	8922.520143
787	8916.180211
788	8914.457282
789	8911.987714
790	8904.467821
791	8901.36053
792	8899.650376
793	8897.845214
794	8890.095513
795	8887.251128
796	8880.016984
797	8874.141272
798	8872.223304
799	8864.728759
800	8862.942343
801	8861.260014
802	8859.619263
803	8844.87939
804	8838.853112
805	8832.110393
806	8828.712716
807	8822.527129
808	8818.177299
809	8810.039902
810	8808.37492
811	8806.780523
812	8804.139194
813	8802.384405
814	8800.72055
815	8798.305268
816	8785.096954
817	8775.774321
818	8773.944267
819	8768.300099
820	8759.23454
821	8755.351677
822	8742.558038
823	8739.113407
824	8735.172599
825	8731.089891
826	8729.355656
827	8724.366609
828	8722.645682
829	8719.724052
830	8713.06344
831	8710.207253
832	8705.703957
833	8704.035133
834	8702.330015
835	8700.776032
836	8699.163496
837	8695.194515
838	8688.495978
839	8676.775479
840	8668.589628
841	8666.966759
842	8664.789704
843	8663.227193
844	8661.748335
845	8656.034683
846	8651.203985
847	8645.993488
848	8639.751715
849	8631.566702
850	8630.013289
851	8628.476148
852	8625.022312
853	8622.725312
854	8621.194105
855	8619.548566
856	8617.525551
857	8615.960913
858	8611.391099
859	8606.557816
860	8591.859947
861	8585.865264
862	8584.324708
863	8576.742051
864	8569.977728
865	8561.277389
866	8559.761568
867	8550.317912
868	8542.240658
869	8536.272778
870	8532.417092
871	8528.816472
872	8527.374382
873	8524.970265
874	8523.396882
875	8521.941105
876	8520.154178
877	8518.249451
878	8506.499797
879	8493.606365
880	8492.034418
881	8489.943487
882	8488.322719
883	8486.057165
884	8483.332459
885	8481.218926
886	8478.094789
887	8475.65852
888	8474.107637
889	8472.535427
890	8471.075961
891	8469.385998
892	8467.895119
893	8466.4304
894	8462.823135
895	8452.058611
896	8450.578585
897	8442.316848
898	8439.476043
899	8437.844662
900	8427.460229
901	8417.924822
902	8416.453592
903	8415.086478
904	8413.762509
905	8410.968048
906	8405.576338
907	8404.117603
908	8402.518732
909	8400.937233
910	8398.683306
911	8396.829263
912	8395.361065
913	8393.50131
914	8392.133309
915	8387.915199
916	8386.604519
917	8382.349933
918	8377.200655
919	8374.24992
920	8372.637103
921	8364.526725
922	8363.202368
923	8355.541987
924	8350.565655
925	8347.870557
926	8337.34848
927	8330.181757
928	8328.908908
929	8316.749807
930	8315.120121
931	8312.944266
932	8311.519692
933	8310.027337
934	8302.481108
935	8301.097334
936	8299.792828
937	8298.552581
938	8296.678973
939	8295.337879
940	8280.156957
941	8270.504514
942	8266.845563
943	8265.596495
944	8264.264544
945	8259.147805
946	8254.860077
947	8244.315337
948	8241.742241
949	8237.790308
950	8231.748211
951	8230.279486
952	8227.229614
953	8223.396274
954	8219.425212
955	8214.363453
956	8208.69846
957	8206.555326
958	8202.849339
959	8201.058791
960	8189.728528
961	8187.158995
962	8176.14917
963	8174.69465
964	8172.285921
965	8170.927368
966	8168.449516
967	8162.992839
968	8154.815206
969	8153.507367
970	8152.173226
971	8144.854274
972	8139.983286
973	8138.685576
974	8137.455851
975	8136.07728
976	8134.67076
977	8132.763661
978	8127.669917
979	8125.907041
980	8117.946525
981	8114.362986
982	8109.181214
983	8097.29899
984	8091.047227
985	8088.451034
986	8081.254832
987	8076.660455
988	8075.381363
989	8071.185084
990	8069.801833
991	8063.796423
992	8060.414269
993	8058.314428
994	8054.791079
995	8045.34147
996	8037.827595
997	8033.800028
998	8031.87928
999	8030.295296
